"Location","applicant_race_ethnicity","loan_failed","total_loans","debt_to_income_ratio_bracket","income_bracket","denial_rate"
"DC","Non-Hispanic Asian",17,290,"All","$150k to $200k",0.0586206896551724
"DC","Non-Hispanic Asian",10,207,"All","$200k to $250k",0.0483091787439614
"DC","Non-Hispanic Asian",20,414,"All","$50k to $100k",0.0483091787439614
"DC","Non-Hispanic Black",97,1023,"All","$100k to $150k",0.0948191593352884
"DC","Non-Hispanic Black",34,437,"All","$150k to $200k",0.0778032036613272
"DC","Non-Hispanic Black",21,224,"All","$200k to $250k",0.09375
"DC","Non-Hispanic Black",189,1650,"All","$50k to $100k",0.114545454545455
"DC","Non-Hispanic White",102,3135,"All","$100k to $150k",0.0325358851674641
"DC","Non-Hispanic White",67,2272,"All","$150k to $200k",0.0294894366197183
"DC","Non-Hispanic White",40,1490,"All","$200k to $250k",0.0268456375838926
"DC","Non-Hispanic White",84,2541,"All","$50k to $100k",0.0330578512396694
"DE","Hispanic or Latino",31,272,"All","$100k to $150k",0.113970588235294
"DE","Hispanic or Latino",13,76,"All","$150k to $200k",999
"DE","Hispanic or Latino",6,30,"All","$200k to $250k",999
"DE","Hispanic or Latino",173,1473,"All","$50k to $100k",0.11744738628649
"DE","Non-Hispanic Asian",31,550,"All","$100k to $150k",0.0563636363636364
"DE","Non-Hispanic Asian",9,147,"All","$150k to $200k",0.0612244897959184
"DE","Non-Hispanic Asian",7,100,"All","$200k to $250k",999
"DE","Non-Hispanic Asian",65,705,"All","$50k to $100k",0.0921985815602837
"DE","Non-Hispanic Black",138,1158,"All","$100k to $150k",0.119170984455959
"DE","Non-Hispanic Black",41,308,"All","$150k to $200k",0.133116883116883
"DE","Non-Hispanic Black",16,108,"All","$200k to $250k",0.148148148148148
"DE","Non-Hispanic Black",551,4216,"All","$50k to $100k",0.130692599620493
"DE","Non-Hispanic White",274,5086,"All","$100k to $150k",0.053873377900118
"DE","Non-Hispanic White",86,1893,"All","$150k to $200k",0.0454305335446381
"DE","Non-Hispanic White",30,684,"All","$200k to $250k",0.043859649122807
"DE","Non-Hispanic White",900,12538,"All","$50k to $100k",0.0717817833785293
"FL","Hispanic or Latino",3574,32890,"All","$100k to $150k",0.108665247795683
"FL","Hispanic or Latino",1189,10214,"All","$150k to $200k",0.11640885059722
"FL","Hispanic or Latino",463,4017,"All","$200k to $250k",0.115260144386358
"FL","Hispanic or Latino",14901,120854,"All","$50k to $100k",0.123297532559948
"FL","Non-Hispanic Asian",554,6297,"All","$100k to $150k",0.0879784024138479
"FL","Non-Hispanic Asian",217,2110,"All","$150k to $200k",0.102843601895735
"FL","Non-Hispanic Asian",96,1152,"All","$200k to $250k",0.0833333333333333
"FL","Non-Hispanic Asian",1142,11914,"All","$50k to $100k",0.095853617592748
"FL","Non-Hispanic Black",1630,12285,"All","$100k to $150k",0.132682132682133
"FL","Non-Hispanic Black",410,3173,"All","$150k to $200k",0.12921525370312
"FL","Non-Hispanic Black",176,1176,"All","$200k to $250k",0.149659863945578
"FL","Non-Hispanic Black",7916,50305,"All","$50k to $100k",0.157360103369446
"FL","Non-Hispanic White",8081,112644,"All","$100k to $150k",0.0717392848265331
"FL","Non-Hispanic White",3105,44111,"All","$150k to $200k",0.070390605517898
"FL","Non-Hispanic White",1476,19064,"All","$200k to $250k",0.0774234158623584
"FL","Non-Hispanic White",23761,260034,"All","$50k to $100k",0.0913765123022374
"GA","Hispanic or Latino",358,4315,"All","$100k to $150k",0.0829663962920046
"GA","Hispanic or Latino",119,1443,"All","$150k to $200k",0.0824670824670825
"GA","Hispanic or Latino",38,518,"All","$200k to $250k",0.0733590733590734
"GA","Hispanic or Latino",1777,17753,"All","$50k to $100k",0.100095758463358
"GA","Non-Hispanic Asian",350,5984,"All","$100k to $150k",0.0584893048128342
"GA","Non-Hispanic Asian",124,2044,"All","$150k to $200k",0.060665362035225
"GA","Non-Hispanic Asian",82,1028,"All","$200k to $250k",0.0797665369649805
"GA","Non-Hispanic Asian",731,10091,"All","$50k to $100k",0.0724407888217223
"GA","Non-Hispanic Black",1790,14573,"All","$100k to $150k",0.122829890894119
"GA","Non-Hispanic Black",485,3937,"All","$150k to $200k",0.123190246380493
"GA","Non-Hispanic Black",172,1397,"All","$200k to $250k",0.123120973514674
"GA","Non-Hispanic Black",8086,55158,"All","$50k to $100k",0.146597048478915
"GA","Non-Hispanic White",2927,50314,"All","$100k to $150k",0.0581746631156338
"GA","Non-Hispanic White",1044,20358,"All","$150k to $200k",0.0512820512820513
"GA","Non-Hispanic White",492,8877,"All","$200k to $250k",0.0554241297735722
"GA","Non-Hispanic White",9613,115415,"All","$50k to $100k",0.0832907334401941
"HI","Hispanic or Latino",30,654,"All","$100k to $150k",0.0458715596330275
"HI","Hispanic or Latino",21,224,"All","$150k to $200k",0.09375
"HI","Hispanic or Latino",6,83,"All","$200k to $250k",999
"HI","Hispanic or Latino",53,892,"All","$50k to $100k",0.0594170403587444
"HI","Non-Hispanic Asian",187,3739,"All","$100k to $150k",0.0500133725595079
"HI","Non-Hispanic Asian",92,1496,"All","$150k to $200k",0.0614973262032086
"HI","Non-Hispanic Asian",21,523,"All","$200k to $250k",0.0401529636711281
"HI","Non-Hispanic Asian",236,4508,"All","$50k to $100k",0.0523513753327418
"HI","Non-Hispanic Black",17,279,"All","$100k to $150k",0.0609318996415771
"HI","Non-Hispanic Black",5,101,"All","$150k to $200k",0.0495049504950495
"HI","Non-Hispanic Black",1,26,"All","$200k to $250k",999
"HI","Non-Hispanic Black",24,306,"All","$50k to $100k",0.0784313725490196
"HI","Non-Hispanic White",159,3210,"All","$100k to $150k",0.0495327102803738
"HI","Non-Hispanic White",89,1427,"All","$150k to $200k",0.0623686054660126
"HI","Non-Hispanic White",35,558,"All","$200k to $250k",0.0627240143369176
"HI","Non-Hispanic White",215,3717,"All","$50k to $100k",0.0578423459779392
"IA","Hispanic or Latino",40,505,"All","$100k to $150k",0.0792079207920792
"IA","Hispanic or Latino",4,127,"All","$150k to $200k",0.031496062992126
"IA","Hispanic or Latino",1,43,"All","$200k to $250k",999
"IA","Hispanic or Latino",302,2611,"All","$50k to $100k",0.115664496361547
"IA","Non-Hispanic Asian",16,477,"All","$100k to $150k",0.0335429769392034
"IA","Non-Hispanic Asian",3,154,"All","$150k to $200k",0.0194805194805195
"IA","Non-Hispanic Asian",2,77,"All","$200k to $250k",999
"IA","Non-Hispanic Asian",89,1268,"All","$50k to $100k",0.0701892744479495
"IA","Non-Hispanic Black",19,241,"All","$100k to $150k",0.0788381742738589
"IA","Non-Hispanic Black",5,56,"All","$150k to $200k",999
"IA","Non-Hispanic Black",2,28,"All","$200k to $250k",999
"IA","Non-Hispanic Black",134,1296,"All","$50k to $100k",0.103395061728395
"IA","Non-Hispanic White",666,17468,"All","$100k to $150k",0.0381268605449966
"IA","Non-Hispanic White",149,5283,"All","$150k to $200k",0.028203672155972
"IA","Non-Hispanic White",69,1836,"All","$200k to $250k",0.0375816993464052
"IA","Non-Hispanic White",3020,46223,"All","$50k to $100k",0.0653354390671311
"ID","Hispanic or Latino",37,776,"All","$100k to $150k",0.047680412371134
"ID","Hispanic or Latino",13,190,"All","$150k to $200k",0.068421052631579
"ID","Hispanic or Latino",6,60,"All","$200k to $250k",999
"ID","Hispanic or Latino",282,3996,"All","$50k to $100k",0.0705705705705706
"ID","Non-Hispanic Asian",16,360,"All","$100k to $150k",0.0444444444444444
"ID","Non-Hispanic Asian",5,113,"All","$150k to $200k",0.0442477876106195
"ID","Non-Hispanic Asian",2,55,"All","$200k to $250k",999
"ID","Non-Hispanic Asian",34,669,"All","$50k to $100k",0.0508221225710015
"ID","Non-Hispanic Black",8,94,"All","$100k to $150k",999
"ID","Non-Hispanic Black",0,23,"All","$150k to $200k",999
"ID","Non-Hispanic Black",0,5,"All","$200k to $250k",999
"ID","Non-Hispanic Black",24,313,"All","$50k to $100k",0.0766773162939297
"ID","Non-Hispanic White",618,14557,"All","$100k to $150k",0.0424538022944288
"ID","Non-Hispanic White",222,4684,"All","$150k to $200k",0.0473953885567891
"ID","Non-Hispanic White",94,1818,"All","$200k to $250k",0.0517051705170517
"ID","Non-Hispanic White",2011,41180,"All","$50k to $100k",0.0488343856240894
"IL","Hispanic or Latino",559,7245,"All","$100k to $150k",0.0771566597653554
"IL","Hispanic or Latino",160,2092,"All","$150k to $200k",0.0764818355640535
"IL","Hispanic or Latino",43,690,"All","$200k to $250k",0.0623188405797101
"IL","Hispanic or Latino",3581,33930,"All","$50k to $100k",0.105540819333923
"IL","Non-Hispanic Asian",434,7212,"All","$100k to $150k",0.060177481974487
"IL","Non-Hispanic Asian",167,3052,"All","$150k to $200k",0.0547182175622543
"IL","Non-Hispanic Asian",75,1589,"All","$200k to $250k",0.0471994965387036
"IL","Non-Hispanic Asian",726,10531,"All","$50k to $100k",0.0689393220017092
"IL","Non-Hispanic Black",687,5302,"All","$100k to $150k",0.129573745756318
"IL","Non-Hispanic Black",183,1520,"All","$150k to $200k",0.120394736842105
"IL","Non-Hispanic Black",65,573,"All","$200k to $250k",0.113438045375218
"IL","Non-Hispanic Black",3129,20685,"All","$50k to $100k",0.151269035532995
"IL","Non-Hispanic White",2440,55840,"All","$100k to $150k",0.0436962750716332
"IL","Non-Hispanic White",964,24774,"All","$150k to $200k",0.0389117623314766
"IL","Non-Hispanic White",449,11481,"All","$200k to $250k",0.039108091629649
"IL","Non-Hispanic White",7133,115868,"All","$50k to $100k",0.0615614319743156
"IN","Hispanic or Latino",98,1475,"All","$100k to $150k",0.0664406779661017
"IN","Hispanic or Latino",20,388,"All","$150k to $200k",0.0515463917525773
"IN","Hispanic or Latino",11,145,"All","$200k to $250k",0.0758620689655172
"IN","Hispanic or Latino",620,7063,"All","$50k to $100k",0.0877813960073623
"IN","Non-Hispanic Asian",70,1364,"All","$100k to $150k",0.0513196480938416
"IN","Non-Hispanic Asian",28,515,"All","$150k to $200k",0.054368932038835
"IN","Non-Hispanic Asian",11,261,"All","$200k to $250k",0.0421455938697318
"IN","Non-Hispanic Asian",230,3167,"All","$50k to $100k",0.0726239343227029
"IN","Non-Hispanic Black",129,1731,"All","$100k to $150k",0.0745233968804159
"IN","Non-Hispanic Black",50,378,"All","$150k to $200k",0.132275132275132
"IN","Non-Hispanic Black",8,134,"All","$200k to $250k",0.0597014925373134
"IN","Non-Hispanic Black",811,7649,"All","$50k to $100k",0.106026931625049
"IN","Non-Hispanic White",1443,35232,"All","$100k to $150k",0.0409570844686648
"IN","Non-Hispanic White",424,11035,"All","$150k to $200k",0.038423198912551
"IN","Non-Hispanic White",159,4234,"All","$200k to $250k",0.0375531412376004
"IN","Non-Hispanic White",6257,104357,"All","$50k to $100k",0.0599576453903428
"KS","Hispanic or Latino",53,771,"All","$100k to $150k",0.0687418936446174
"KS","Hispanic or Latino",14,239,"All","$150k to $200k",0.0585774058577406
"KS","Hispanic or Latino",9,73,"All","$200k to $250k",999
"KS","Hispanic or Latino",340,3719,"All","$50k to $100k",0.0914224253831675
"KS","Non-Hispanic Asian",32,621,"All","$100k to $150k",0.0515297906602254
"KS","Non-Hispanic Asian",7,207,"All","$150k to $200k",0.0338164251207729
"KS","Non-Hispanic Asian",1,78,"All","$200k to $250k",999
"KS","Non-Hispanic Asian",98,1394,"All","$50k to $100k",0.0703012912482066
"KS","Non-Hispanic Black",33,471,"All","$100k to $150k",0.0700636942675159
"KS","Non-Hispanic Black",12,164,"All","$150k to $200k",0.0731707317073171
"KS","Non-Hispanic Black",2,49,"All","$200k to $250k",999
"KS","Non-Hispanic Black",147,1536,"All","$50k to $100k",0.095703125
"KS","Non-Hispanic White",539,14707,"All","$100k to $150k",0.0366492146596859
"KS","Non-Hispanic White",150,5238,"All","$150k to $200k",0.0286368843069874
"KS","Non-Hispanic White",73,2070,"All","$200k to $250k",0.0352657004830918
"KS","Non-Hispanic White",2114,35131,"All","$50k to $100k",0.0601747744157582
"KY","Hispanic or Latino",56,497,"All","$100k to $150k",0.112676056338028
"KY","Hispanic or Latino",14,141,"All","$150k to $200k",0.099290780141844
"KY","Hispanic or Latino",4,51,"All","$200k to $250k",999
"KY","Hispanic or Latino",395,2365,"All","$50k to $100k",0.167019027484144
"KY","Non-Hispanic Asian",25,460,"All","$100k to $150k",0.0543478260869565
"KY","Non-Hispanic Asian",5,132,"All","$150k to $200k",0.0378787878787879
"KY","Non-Hispanic Asian",2,80,"All","$200k to $250k",999
"KY","Non-Hispanic Asian",84,1148,"All","$50k to $100k",0.0731707317073171
"KY","Non-Hispanic Black",83,754,"All","$100k to $150k",0.110079575596817
"KY","Non-Hispanic Black",13,192,"All","$150k to $200k",0.0677083333333333
"KY","Non-Hispanic Black",3,73,"All","$200k to $250k",999
"KY","Non-Hispanic Black",437,3516,"All","$50k to $100k",0.124288964732651
"KY","Non-Hispanic White",1407,19384,"All","$100k to $150k",0.0725856376392901
"KY","Non-Hispanic White",323,6032,"All","$150k to $200k",0.0535477453580902
"KY","Non-Hispanic White",115,2305,"All","$200k to $250k",0.0498915401301518
"KY","Non-Hispanic White",7867,62826,"All","$50k to $100k",0.125218858434406
"LA","Hispanic or Latino",113,805,"All","$100k to $150k",0.140372670807453
"LA","Hispanic or Latino",26,223,"All","$150k to $200k",0.116591928251121
"LA","Hispanic or Latino",8,85,"All","$200k to $250k",999
"LA","Hispanic or Latino",498,3252,"All","$50k to $100k",0.153136531365314
"LA","Non-Hispanic Asian",39,452,"All","$100k to $150k",0.086283185840708
"LA","Non-Hispanic Asian",7,139,"All","$150k to $200k",0.0503597122302158
"LA","Non-Hispanic Asian",5,78,"All","$200k to $250k",999
"LA","Non-Hispanic Asian",96,1225,"All","$50k to $100k",0.0783673469387755
"LA","Non-Hispanic Black",552,3094,"All","$100k to $150k",0.178409825468649
"LA","Non-Hispanic Black",162,728,"All","$150k to $200k",0.222527472527473
"LA","Non-Hispanic Black",33,218,"All","$200k to $250k",0.151376146788991
"LA","Non-Hispanic Black",3854,16234,"All","$50k to $100k",0.237402981397068
"LA","Non-Hispanic White",1430,18691,"All","$100k to $150k",0.0765074099834145
"LA","Non-Hispanic White",413,6335,"All","$150k to $200k",0.0651933701657459
"LA","Non-Hispanic White",156,2223,"All","$200k to $250k",0.0701754385964912
"LA","Non-Hispanic White",5973,49124,"All","$50k to $100k",0.121590261379367
"MA","Hispanic or Latino",314,3946,"All","$100k to $150k",0.0795742524075013
"MA","Hispanic or Latino",66,1009,"All","$150k to $200k",0.0654112983151635
"MA","Hispanic or Latino",23,386,"All","$200k to $250k",0.0595854922279793
"MA","Hispanic or Latino",1075,12167,"All","$50k to $100k",0.0883537437330484
"MA","Non-Hispanic Asian",230,5020,"All","$100k to $150k",0.0458167330677291
"MA","Non-Hispanic Asian",122,2632,"All","$150k to $200k",0.0463525835866261
"MA","Non-Hispanic Asian",84,1669,"All","$200k to $250k",0.0503295386458957
"MA","Non-Hispanic Asian",403,5594,"All","$50k to $100k",0.072041473006793
"MA","Non-Hispanic Black",253,2609,"All","$100k to $150k",0.0969720199310081
"MA","Non-Hispanic Black",65,747,"All","$150k to $200k",0.0870147255689424
"MA","Non-Hispanic Black",18,225,"All","$200k to $250k",0.08
"MA","Non-Hispanic Black",770,6998,"All","$50k to $100k",0.110031437553587
"MA","Non-Hispanic White",1350,35672,"All","$100k to $150k",0.0378448082529715
"MA","Non-Hispanic White",618,19280,"All","$150k to $200k",0.0320539419087137
"MA","Non-Hispanic White",341,9689,"All","$200k to $250k",0.0351945505212096
"MA","Non-Hispanic White",2860,53014,"All","$50k to $100k",0.0539480137322217
"MD","Hispanic or Latino",277,3869,"All","$100k to $150k",0.0715947273197209
"MD","Hispanic or Latino",76,1296,"All","$150k to $200k",0.058641975308642
"MD","Hispanic or Latino",29,532,"All","$200k to $250k",0.0545112781954887
"MD","Hispanic or Latino",1248,13757,"All","$50k to $100k",0.0907174529330523
"MD","Non-Hispanic Asian",278,4735,"All","$100k to $150k",0.0587117212249208
"MD","Non-Hispanic Asian",126,2105,"All","$150k to $200k",0.0598574821852732
"MD","Non-Hispanic Asian",67,1209,"All","$200k to $250k",0.0554177005789909
"MD","Non-Hispanic Asian",523,6934,"All","$50k to $100k",0.0754254398615518
"MD","Non-Hispanic Black",1436,14518,"All","$100k to $150k",0.0989116958258713
"MD","Non-Hispanic Black",486,4839,"All","$150k to $200k",0.100433973961562
"MD","Non-Hispanic Black",146,1716,"All","$200k to $250k",0.0850815850815851
"MD","Non-Hispanic Black",3313,29871,"All","$50k to $100k",0.110910247397141
"MD","Non-Hispanic White",1138,29865,"All","$100k to $150k",0.0381048049556337
"MD","Non-Hispanic White",486,14729,"All","$150k to $200k",0.0329961300835087
"MD","Non-Hispanic White",214,6714,"All","$200k to $250k",0.0318736967530533
"MD","Non-Hispanic White",2385,48768,"All","$50k to $100k",0.0489050196850394
"ME","Hispanic or Latino",9,108,"All","$100k to $150k",0.0833333333333333
"ME","Hispanic or Latino",4,33,"All","$150k to $200k",999
"ME","Hispanic or Latino",5,30,"All","$200k to $250k",999
"ME","Hispanic or Latino",49,350,"All","$50k to $100k",0.14
"ME","Non-Hispanic Asian",6,118,"All","$100k to $150k",0.0508474576271186
"ME","Non-Hispanic Asian",3,41,"All","$150k to $200k",999
"ME","Non-Hispanic Asian",0,16,"All","$200k to $250k",999
"ME","Non-Hispanic Asian",19,252,"All","$50k to $100k",0.0753968253968254
"ME","Non-Hispanic Black",3,57,"All","$100k to $150k",999
"ME","Non-Hispanic Black",1,22,"All","$150k to $200k",999
"ME","Non-Hispanic Black",0,6,"All","$200k to $250k",999
"ME","Non-Hispanic Black",28,328,"All","$50k to $100k",0.0853658536585366
"ME","Non-Hispanic White",370,6588,"All","$100k to $150k",0.0561627200971463
"ME","Non-Hispanic White",106,2171,"All","$150k to $200k",0.0488254260709351
"ME","Non-Hispanic White",50,819,"All","$200k to $250k",0.061050061050061
"ME","Non-Hispanic White",1528,19038,"All","$50k to $100k",0.0802605315684421
"MI","Hispanic or Latino",141,1715,"All","$100k to $150k",0.0822157434402332
"MI","Hispanic or Latino",37,511,"All","$150k to $200k",0.0724070450097847
"MI","Hispanic or Latino",10,191,"All","$200k to $250k",0.0523560209424084
"MI","Hispanic or Latino",801,6017,"All","$50k to $100k",0.133122818680406
"MI","Non-Hispanic Asian",140,3020,"All","$100k to $150k",0.0463576158940397
"MI","Non-Hispanic Asian",44,1034,"All","$150k to $200k",0.0425531914893617
"MI","Non-Hispanic Asian",14,495,"All","$200k to $250k",0.0282828282828283
"MI","Non-Hispanic Asian",299,4764,"All","$50k to $100k",0.0627623845507976
"MI","Non-Hispanic Black",360,2533,"All","$100k to $150k",0.142123963679432
"MI","Non-Hispanic Black",86,698,"All","$150k to $200k",0.123209169054441
"MI","Non-Hispanic Black",25,219,"All","$200k to $250k",0.114155251141553
"MI","Non-Hispanic Black",2076,11952,"All","$50k to $100k",0.173694779116466
"MI","Non-Hispanic White",2285,45687,"All","$100k to $150k",0.050014227241885
"MI","Non-Hispanic White",657,15985,"All","$150k to $200k",0.0411010322177041
"MI","Non-Hispanic White",297,6486,"All","$200k to $250k",0.045790934320074
"MI","Non-Hispanic White",10419,134939,"All","$50k to $100k",0.077212666464106
"MN","Hispanic or Latino",89,1259,"All","$100k to $150k",0.0706910246227164
"MN","Hispanic or Latino",25,344,"All","$150k to $200k",0.0726744186046512
"MN","Hispanic or Latino",7,128,"All","$200k to $250k",0.0546875
"MN","Hispanic or Latino",610,5623,"All","$50k to $100k",0.108483016183532
"MN","Non-Hispanic Asian",135,2701,"All","$100k to $150k",0.0499814883376527
"MN","Non-Hispanic Asian",44,809,"All","$150k to $200k",0.0543881334981459
"MN","Non-Hispanic Asian",15,401,"All","$200k to $250k",0.0374064837905237
"MN","Non-Hispanic Asian",366,6372,"All","$50k to $100k",0.0574387947269303
"MN","Non-Hispanic Black",100,1365,"All","$100k to $150k",0.0732600732600733
"MN","Non-Hispanic Black",24,311,"All","$150k to $200k",0.0771704180064309
"MN","Non-Hispanic Black",9,125,"All","$200k to $250k",0.072
"MN","Non-Hispanic Black",564,5811,"All","$50k to $100k",0.0970573051109964
"MN","Non-Hispanic White",1197,38681,"All","$100k to $150k",0.0309454254026525
"MN","Non-Hispanic White",386,14521,"All","$150k to $200k",0.0265821913091385
"MN","Non-Hispanic White",186,5699,"All","$200k to $250k",0.0326373047903141
"MN","Non-Hispanic White",4148,87126,"All","$50k to $100k",0.0476092096503914
"MO","Hispanic or Latino",66,991,"All","$100k to $150k",0.0665993945509586
"MO","Hispanic or Latino",10,272,"All","$150k to $200k",0.0367647058823529
"MO","Hispanic or Latino",6,116,"All","$200k to $250k",0.0517241379310345
"MO","Hispanic or Latino",337,3581,"All","$50k to $100k",0.0941077911197989
"MO","Non-Hispanic Asian",51,1155,"All","$100k to $150k",0.0441558441558442
"MO","Non-Hispanic Asian",17,395,"All","$150k to $200k",0.0430379746835443
"MO","Non-Hispanic Asian",5,223,"All","$200k to $250k",0.0224215246636771
"MO","Non-Hispanic Asian",116,2017,"All","$50k to $100k",0.0575111551809618
"MO","Non-Hispanic Black",164,1639,"All","$100k to $150k",0.100061012812691
"MO","Non-Hispanic Black",36,406,"All","$150k to $200k",0.0886699507389163
"MO","Non-Hispanic Black",6,143,"All","$200k to $250k",0.041958041958042
"MO","Non-Hispanic Black",828,6688,"All","$50k to $100k",0.123803827751196
"MO","Non-Hispanic White",1224,31930,"All","$100k to $150k",0.0383338553084873
"MO","Non-Hispanic White",396,10467,"All","$150k to $200k",0.0378331900257954
"MO","Non-Hispanic White",136,4089,"All","$200k to $250k",0.0332599657618
"MO","Non-Hispanic White",5610,89726,"All","$50k to $100k",0.0625236832133384
"MS","Hispanic or Latino",34,272,"All","$100k to $150k",0.125
"MS","Hispanic or Latino",8,74,"All","$150k to $200k",999
"MS","Hispanic or Latino",2,31,"All","$200k to $250k",999
"MS","Hispanic or Latino",223,1526,"All","$50k to $100k",0.146133682830931
"MS","Non-Hispanic Asian",7,175,"All","$100k to $150k",0.04
"MS","Non-Hispanic Asian",5,57,"All","$150k to $200k",999
"MS","Non-Hispanic Asian",1,21,"All","$200k to $250k",999
"MS","Non-Hispanic Asian",50,576,"All","$50k to $100k",0.0868055555555556
"MS","Non-Hispanic Black",299,1883,"All","$100k to $150k",0.15878916622411
"MS","Non-Hispanic Black",69,346,"All","$150k to $200k",0.199421965317919
"MS","Non-Hispanic Black",26,106,"All","$200k to $250k",0.245283018867925
"MS","Non-Hispanic Black",2469,10853,"All","$50k to $100k",0.227494701925735
"MS","Non-Hispanic White",748,10002,"All","$100k to $150k",0.0747850429914017
"MS","Non-Hispanic White",192,2954,"All","$150k to $200k",0.0649966147596479
"MS","Non-Hispanic White",45,974,"All","$200k to $250k",0.0462012320328542
"MS","Non-Hispanic White",3451,30620,"All","$50k to $100k",0.112704114957544
"MT","Hispanic or Latino",8,164,"All","$100k to $150k",0.0487804878048781
"MT","Hispanic or Latino",10,55,"All","$150k to $200k",999
"MT","Hispanic or Latino",1,12,"All","$200k to $250k",999
"MT","Hispanic or Latino",41,569,"All","$50k to $100k",0.0720562390158172
"MT","Non-Hispanic Asian",4,60,"All","$100k to $150k",999
"MT","Non-Hispanic Asian",0,21,"All","$150k to $200k",999
"MT","Non-Hispanic Asian",0,11,"All","$200k to $250k",999
"MT","Non-Hispanic Asian",9,181,"All","$50k to $100k",0.0497237569060773
"MT","Non-Hispanic Black",5,27,"All","$100k to $150k",999
"MT","Non-Hispanic Black",1,6,"All","$150k to $200k",999
"MT","Non-Hispanic Black",1,5,"All","$200k to $250k",999
"MT","Non-Hispanic Black",11,109,"All","$50k to $100k",0.100917431192661
"MT","Non-Hispanic White",351,6796,"All","$100k to $150k",0.0516480282519129
"MT","Non-Hispanic White",88,2051,"All","$150k to $200k",0.0429058995611897
"MT","Non-Hispanic White",47,842,"All","$200k to $250k",0.0558194774346793
"MT","Non-Hispanic White",1222,18099,"All","$50k to $100k",0.0675175424056578
"NC","Hispanic or Latino",289,3699,"All","$100k to $150k",0.0781292241146256
"NC","Hispanic or Latino",61,1126,"All","$150k to $200k",0.0541740674955595
"NC","Hispanic or Latino",39,434,"All","$200k to $250k",0.0898617511520737
"NC","Hispanic or Latino",1648,15620,"All","$50k to $100k",0.10550576184379
"NC","Non-Hispanic Asian",342,5174,"All","$100k to $150k",0.0660997294163123
"NC","Non-Hispanic Asian",144,1845,"All","$150k to $200k",0.0780487804878049
"NC","Non-Hispanic Asian",66,942,"All","$200k to $250k",0.0700636942675159
"NC","Non-Hispanic Asian",450,6665,"All","$50k to $100k",0.067516879219805
"NC","Non-Hispanic Black",850,8099,"All","$100k to $150k",0.104951228546734
"NC","Non-Hispanic Black",172,2082,"All","$150k to $200k",0.0826128722382325
"NC","Non-Hispanic Black",52,680,"All","$200k to $250k",0.0764705882352941
"NC","Non-Hispanic Black",4765,31293,"All","$50k to $100k",0.152270475825264
"NC","Non-Hispanic White",2909,61312,"All","$100k to $150k",0.0474458507306889
"NC","Non-Hispanic White",1041,23963,"All","$150k to $200k",0.0434419730417727
"NC","Non-Hispanic White",478,10146,"All","$200k to $250k",0.0471121624285433
"NC","Non-Hispanic White",10339,144200,"All","$50k to $100k",0.0716990291262136
"ND","Hispanic or Latino",14,128,"All","$100k to $150k",0.109375
"ND","Hispanic or Latino",1,26,"All","$150k to $200k",999
"ND","Hispanic or Latino",2,5,"All","$200k to $250k",999
"ND","Hispanic or Latino",40,376,"All","$50k to $100k",0.106382978723404
"ND","Non-Hispanic Asian",3,46,"All","$100k to $150k",999
"ND","Non-Hispanic Asian",1,16,"All","$150k to $200k",999
"ND","Non-Hispanic Asian",0,10,"All","$200k to $250k",999
"ND","Non-Hispanic Asian",13,166,"All","$50k to $100k",0.0783132530120482
"ND","Non-Hispanic Black",6,45,"All","$100k to $150k",999
"ND","Non-Hispanic Black",2,8,"All","$150k to $200k",999
"ND","Non-Hispanic Black",0,1,"All","$200k to $250k",999
"ND","Non-Hispanic Black",17,224,"All","$50k to $100k",0.0758928571428571
"ND","Non-Hispanic White",168,4588,"All","$100k to $150k",0.036617262423714
"ND","Non-Hispanic White",41,1303,"All","$150k to $200k",0.0314658480429777
"ND","Non-Hispanic White",15,406,"All","$200k to $250k",0.0369458128078818
"ND","Non-Hispanic White",633,11143,"All","$50k to $100k",0.0568069640132819
"NE","Hispanic or Latino",40,544,"All","$100k to $150k",0.0735294117647059
"NE","Hispanic or Latino",4,99,"All","$150k to $200k",999
"NE","Hispanic or Latino",1,36,"All","$200k to $250k",999
"NE","Hispanic or Latino",195,2669,"All","$50k to $100k",0.0730610715623829
"NE","Non-Hispanic Asian",13,370,"All","$100k to $150k",0.0351351351351351
"NE","Non-Hispanic Asian",2,107,"All","$150k to $200k",0.0186915887850467
"NE","Non-Hispanic Asian",1,50,"All","$200k to $250k",999
"NE","Non-Hispanic Asian",50,979,"All","$50k to $100k",0.0510725229826353
"NE","Non-Hispanic Black",15,252,"All","$100k to $150k",0.0595238095238095
"NE","Non-Hispanic Black",3,72,"All","$150k to $200k",999
"NE","Non-Hispanic Black",2,16,"All","$200k to $250k",999
"NE","Non-Hispanic Black",73,876,"All","$50k to $100k",0.0833333333333333
"NE","Non-Hispanic White",329,11243,"All","$100k to $150k",0.0292626523169972
"NE","Non-Hispanic White",73,3366,"All","$150k to $200k",0.0216874628639335
"NE","Non-Hispanic White",37,1249,"All","$200k to $250k",0.0296236989591673
"NE","Non-Hispanic White",1078,25554,"All","$50k to $100k",0.0421851764890037
"NH","Hispanic or Latino",30,429,"All","$100k to $150k",0.0699300699300699
"NH","Hispanic or Latino",7,101,"All","$150k to $200k",0.0693069306930693
"NH","Hispanic or Latino",7,53,"All","$200k to $250k",999
